Fetching Dependent Repos
com.alipay.sofa:hessian - https://github.com/alipay/sofa-hessian - 30
sofastack/sofa-bolt: {'archived': False, 'fork': False, 'html_url': 'https://github.com/sofastack/sofa-bolt', 'stargazers_count': 2356, 'forks_count': 853, 'subscribers_count': 161}
q66217910/copy-jraft-learn: {'archived': False, 'fork': False, 'html_url': 'https://github.com/q66217910/copy-jraft-learn', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
AprilYoLies/sofa-jraft: {'archived': False, 'fork': False, 'html_url': 'https://github.com/AprilYoLies/sofa-jraft', 'stargazers_count': 0, 'forks_count': 1, 'subscribers_count': 2}
qwsaxz469139169/SKEEN: {'archived': False, 'fork': False, 'html_url': 'https://github.com/qwsaxz469139169/SKEEN', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 0}
haoranaaa/GumanTest: {'archived': False, 'fork': False, 'html_url': 'https://github.com/haoranaaa/GumanTest', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
tannineo/cs7ns6-groupwork: {'archived': False, 'fork': False, 'html_url': 'https://github.com/tannineo/cs7ns6-groupwork', 'stargazers_count': 0, 'forks_count': 2, 'subscribers_count': 2}
URcoders/gateWay: {'archived': False, 'fork': False, 'html_url': 'https://github.com/URcoders/gateWay', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
qwsaxz469139169/RAFT: {'archived': False, 'fork': False, 'html_url': 'https://github.com/qwsaxz469139169/RAFT', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
lstq-lab/sofa-bolt: {'archived': False, 'fork': False, 'html_url': 'https://github.com/lstq-lab/sofa-bolt', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
DTGraph/DTGSoft-jraft: {'archived': False, 'fork': False, 'html_url': 'https://github.com/DTGraph/DTGSoft-jraft', 'stargazers_count': 0, 'forks_count': 2, 'subscribers_count': 1}
feelever/learn: {'archived': False, 'fork': False, 'html_url': 'https://github.com/feelever/learn', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
shspring/sofabolt: {'archived': False, 'fork': False, 'html_url': 'https://github.com/shspring/sofabolt', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 0}
zhichaochen/soul-house: {'archived': False, 'fork': False, 'html_url': 'https://github.com/zhichaochen/soul-house', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 0}
vanilla111/Raft: {'archived': False, 'fork': False, 'html_url': 'https://github.com/vanilla111/Raft', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
lvpber/graduate: {'archived': False, 'fork': False, 'html_url': 'https://github.com/lvpber/graduate', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
helium-cloud/sofa-jraft: {'archived': False, 'fork': False, 'html_url': 'https://github.com/helium-cloud/sofa-jraft', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
wujiangchao/lightning: {'archived': False, 'fork': False, 'html_url': 'https://github.com/wujiangchao/lightning', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
tabbytools/gadget_chain_Pocs: {'archived': False, 'fork': False, 'html_url': 'https://github.com/tabbytools/gadget_chain_Pocs', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}

net.sourceforge.htmlunit:neko-htmlunit - https://github.com/HtmlUnit/htmlunit-neko.git - 11
HtmlUnit/htmlunit: {'archived': False, 'fork': False, 'html_url': 'https://github.com/HtmlUnit/htmlunit', 'stargazers_count': 791, 'forks_count': 197, 'subscribers_count': 22}
vmi/selenese-runner-java: {'archived': False, 'fork': False, 'html_url': 'https://github.com/vmi/selenese-runner-java', 'stargazers_count': 136, 'forks_count': 85, 'subscribers_count': 26}
Xceptance/XLT: {'archived': False, 'fork': False, 'html_url': 'https://github.com/Xceptance/XLT', 'stargazers_count': 57, 'forks_count': 9, 'subscribers_count': 21}
MrTallon/easy-page: {'archived': False, 'fork': False, 'html_url': 'https://github.com/MrTallon/easy-page', 'stargazers_count': 0, 'forks_count': 1, 'subscribers_count': 2}
headelzon/szajs: {'archived': False, 'fork': False, 'html_url': 'https://github.com/headelzon/szajs', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
sandeepbisen/Cucumber: {'archived': False, 'fork': False, 'html_url': 'https://github.com/sandeepbisen/Cucumber', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
Galorn/roBOTcop: {'archived': False, 'fork': False, 'html_url': 'https://github.com/Galorn/roBOTcop', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
snykiotcubedev/HtmlUnit_2.50.0: {'archived': False, 'fork': False, 'html_url': 'https://github.com/snykiotcubedev/HtmlUnit_2.50.0', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
KangnamJJ/smsTest: {'archived': False, 'fork': False, 'html_url': 'https://github.com/KangnamJJ/smsTest', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 0}
SrDiegoH/ProxyCrawler: {'archived': False, 'fork': False, 'html_url': 'https://github.com/SrDiegoH/ProxyCrawler', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
thulc/Estimate: {'archived': False, 'fork': False, 'html_url': 'https://github.com/thulc/Estimate', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}

com.fasterxml.jackson.core:jackson-databind - https://github.com/FasterXML/jackson-databind.git
Error invoking URL https://repos.ecosyste.ms/api/v1/usage/maven/com.fasterxml.jackson.core:jackson-databind/dependencies?page=1&per_page=500

org.springframework.data:spring-data-mongodb - https://github.com/spring-projects/spring-data-mongodb.git - 93
SevenEX/bitrade-parent: {'archived': False, 'fork': False, 'html_url': 'https://github.com/SevenEX/bitrade-parent', 'stargazers_count': 129, 'forks_count': 88, 'subscribers_count': 8}
openshift-roadshow/nationalparks: {'archived': False, 'fork': False, 'html_url': 'https://github.com/openshift-roadshow/nationalparks', 'stargazers_count': 41, 'forks_count': 863, 'subscribers_count': 8}
dolphinxx/xun: {'archived': True, 'fork': False, 'html_url': 'https://github.com/dolphinxx/xun', 'stargazers_count': 13, 'forks_count': 9, 'subscribers_count': 4}
apavlidi/RestfulQueries: {'archived': False, 'fork': False, 'html_url': 'https://github.com/apavlidi/RestfulQueries', 'stargazers_count': 10, 'forks_count': 2, 'subscribers_count': 3}
cybuch/mongobeeJ: {'archived': False, 'fork': False, 'html_url': 'https://github.com/cybuch/mongobeeJ', 'stargazers_count': 9, 'forks_count': 1, 'subscribers_count': 3}
johnnymitrevski/classifiedsMVC: {'archived': False, 'fork': False, 'html_url': 'https://github.com/johnnymitrevski/classifiedsMVC', 'stargazers_count': 8, 'forks_count': 7, 'subscribers_count': 5}
LiuHongMing/pay: {'archived': False, 'fork': False, 'html_url': 'https://github.com/LiuHongMing/pay', 'stargazers_count': 7, 'forks_count': 19, 'subscribers_count': 2}
keesun/swagger-spring: {'archived': False, 'fork': False, 'html_url': 'https://github.com/keesun/swagger-spring', 'stargazers_count': 6, 'forks_count': 3, 'subscribers_count': 2}
boomerang-io/flow.service.workflow: {'archived': False, 'fork': False, 'html_url': 'https://github.com/boomerang-io/flow.service.workflow', 'stargazers_count': 6, 'forks_count': 8, 'subscribers_count': 10}
obiba/obiba-commons: {'archived': False, 'fork': False, 'html_url': 'https://github.com/obiba/obiba-commons', 'stargazers_count': 5, 'forks_count': 9, 'subscribers_count': 11}
boaglio/mongodb-java-springdata-cloud-casadocodigo: {'archived': False, 'fork': False, 'html_url': 'https://github.com/boaglio/mongodb-java-springdata-cloud-casadocodigo', 'stargazers_count': 2, 'forks_count': 0, 'subscribers_count': 2}
lifetofree/mas: {'archived': False, 'fork': False, 'html_url': 'https://github.com/lifetofree/mas', 'stargazers_count': 2, 'forks_count': 1, 'subscribers_count': 5}
switcherapi/switcher-ac: {'archived': False, 'fork': False, 'html_url': 'https://github.com/switcherapi/switcher-ac', 'stargazers_count': 2, 'forks_count': 1, 'subscribers_count': 3}
cartagena/heroku-vraptor-mongodb: {'archived': False, 'fork': False, 'html_url': 'https://github.com/cartagena/heroku-vraptor-mongodb', 'stargazers_count': 2, 'forks_count': 0, 'subscribers_count': 1}
charmyin/yammystudio: {'archived': False, 'fork': False, 'html_url': 'https://github.com/charmyin/yammystudio', 'stargazers_count': 2, 'forks_count': 1, 'subscribers_count': 2}
whatthezzzz/resttemplate: {'archived': False, 'fork': False, 'html_url': 'https://github.com/whatthezzzz/resttemplate', 'stargazers_count': 1, 'forks_count': 0, 'subscribers_count': 1}
chadlung/SpringDataMongoDB-Templates: {'archived': False, 'fork': False, 'html_url': 'https://github.com/chadlung/SpringDataMongoDB-Templates', 'stargazers_count': 1, 'forks_count': 0, 'subscribers_count': 1}
boaglio/judcon2014-openshift-mongodb: {'archived': False, 'fork': False, 'html_url': 'https://github.com/boaglio/judcon2014-openshift-mongodb', 'stargazers_count': 1, 'forks_count': 0, 'subscribers_count': 1}
476678244/SF-Sports-Club: {'archived': False, 'fork': False, 'html_url': 'https://github.com/476678244/SF-Sports-Club', 'stargazers_count': 1, 'forks_count': 1, 'subscribers_count': 5}
MakJuho/weather-crawler: {'archived': False, 'fork': False, 'html_url': 'https://github.com/MakJuho/weather-crawler', 'stargazers_count': 1, 'forks_count': 0, 'subscribers_count': 1}
stackroute/ibm-wave7-lifeline: {'archived': False, 'fork': False, 'html_url': 'https://github.com/stackroute/ibm-wave7-lifeline', 'stargazers_count': 1, 'forks_count': 1, 'subscribers_count': 4}
corbel-platform/lib-mongodb: {'archived': False, 'fork': False, 'html_url': 'https://github.com/corbel-platform/lib-mongodb', 'stargazers_count': 1, 'forks_count': 1, 'subscribers_count': 2}
xieqc/SpringCase: {'archived': False, 'fork': False, 'html_url': 'https://github.com/xieqc/SpringCase', 'stargazers_count': 1, 'forks_count': 0, 'subscribers_count': 1}
masonmei/AxonFrameworkStudy: {'archived': False, 'fork': False, 'html_url': 'https://github.com/masonmei/AxonFrameworkStudy', 'stargazers_count': 1, 'forks_count': 1, 'subscribers_count': 2}
ormanli/prime-phonebook: {'archived': False, 'fork': False, 'html_url': 'https://github.com/ormanli/prime-phonebook', 'stargazers_count': 1, 'forks_count': 0, 'subscribers_count': 1}
manuelpalacin/mercury: {'archived': False, 'fork': False, 'html_url': 'https://github.com/manuelpalacin/mercury', 'stargazers_count': 1, 'forks_count': 0, 'subscribers_count': 2}
83545895/com-company: {'archived': False, 'fork': False, 'html_url': 'https://github.com/83545895/com-company', 'stargazers_count': 1, 'forks_count': 0, 'subscribers_count': 1}
warysswiser/household: {'archived': False, 'fork': False, 'html_url': 'https://github.com/warysswiser/household', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
shallin-sbj/MongoDB: {'archived': False, 'fork': False, 'html_url': 'https://github.com/shallin-sbj/MongoDB', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 0}
yuzelong620/BuzhayanSocket: {'archived': False, 'fork': False, 'html_url': 'https://github.com/yuzelong620/BuzhayanSocket', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
guyueyan577/testConfig: {'archived': False, 'fork': False, 'html_url': 'https://github.com/guyueyan577/testConfig', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
zhi-re/mongo: {'archived': False, 'fork': False, 'html_url': 'https://github.com/zhi-re/mongo', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
whang0701/project-sdk: {'archived': False, 'fork': False, 'html_url': 'https://github.com/whang0701/project-sdk', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
wangqinli123/mongodb-project: {'archived': False, 'fork': False, 'html_url': 'https://github.com/wangqinli123/mongodb-project', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
chundonghan/es-im: {'archived': False, 'fork': False, 'html_url': 'https://github.com/chundonghan/es-im', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
ben-bear/agent: {'archived': False, 'fork': False, 'html_url': 'https://github.com/ben-bear/agent', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 0}
amit-rakesh/Digital_Wallet: {'archived': False, 'fork': False, 'html_url': 'https://github.com/amit-rakesh/Digital_Wallet', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
pkeunhee/mongodb-study: {'archived': False, 'fork': False, 'html_url': 'https://github.com/pkeunhee/mongodb-study', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
Rizja/JPMorganDemo: {'archived': False, 'fork': False, 'html_url': 'https://github.com/Rizja/JPMorganDemo', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
alexsmaroco/api-pda: {'archived': False, 'fork': False, 'html_url': 'https://github.com/alexsmaroco/api-pda', 'stargazers_count': 0, 'forks_count': 1, 'subscribers_count': 2}
zgliang88/mongodb_springdata: {'archived': False, 'fork': False, 'html_url': 'https://github.com/zgliang88/mongodb_springdata', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
generaldevelopers/bedrock-appengine: {'archived': False, 'fork': False, 'html_url': 'https://github.com/generaldevelopers/bedrock-appengine', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 5}
joskineide/hello-world: {'archived': False, 'fork': False, 'html_url': 'https://github.com/joskineide/hello-world', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
sahithi-chilakamarri/docker-assignment: {'archived': False, 'fork': False, 'html_url': 'https://github.com/sahithi-chilakamarri/docker-assignment', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
TejaswiniEnugala/LIfelineProduce: {'archived': False, 'fork': False, 'html_url': 'https://github.com/TejaswiniEnugala/LIfelineProduce', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
sahithi-chilakamarri/mongodb-assignment: {'archived': False, 'fork': False, 'html_url': 'https://github.com/sahithi-chilakamarri/mongodb-assignment', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
Priyanka030997/MongoDb: {'archived': False, 'fork': False, 'html_url': 'https://github.com/Priyanka030997/MongoDb', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
meghanakonuganti/KubernetesTask: {'archived': False, 'fork': False, 'html_url': 'https://github.com/meghanakonuganti/KubernetesTask', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
prathyusha36/spring-boot-mongodb: {'archived': False, 'fork': False, 'html_url': 'https://github.com/prathyusha36/spring-boot-mongodb', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
kinnday/vip2_mongodb: {'archived': False, 'fork': False, 'html_url': 'https://github.com/kinnday/vip2_mongodb', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
GargiLaha/idea-service: {'archived': False, 'fork': False, 'html_url': 'https://github.com/GargiLaha/idea-service', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
owolfhu1/pong-api: {'archived': False, 'fork': False, 'html_url': 'https://github.com/owolfhu1/pong-api', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
AlekseySamoylov/mongogridfs: {'archived': False, 'fork': False, 'html_url': 'https://github.com/AlekseySamoylov/mongogridfs', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
JavaServerGroup/demo-app: {'archived': False, 'fork': False, 'html_url': 'https://github.com/JavaServerGroup/demo-app', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 4}
picaro/cookapp-cloud: {'archived': False, 'fork': False, 'html_url': 'https://github.com/picaro/cookapp-cloud', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 4}
pengliaoye/exchange: {'archived': False, 'fork': False, 'html_url': 'https://github.com/pengliaoye/exchange', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
doktoric/mongo-db-sample: {'archived': False, 'fork': False, 'html_url': 'https://github.com/doktoric/mongo-db-sample', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
szubster/OSPManager: {'archived': False, 'fork': False, 'html_url': 'https://github.com/szubster/OSPManager', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 3}
vitamon/Java_Spring_Mongo: {'archived': False, 'fork': False, 'html_url': 'https://github.com/vitamon/Java_Spring_Mongo', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
pmerienne/iclassification: {'archived': False, 'fork': False, 'html_url': 'https://github.com/pmerienne/iclassification', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
mmaico/mongodb-with-spring: {'archived': False, 'fork': False, 'html_url': 'https://github.com/mmaico/mongodb-with-spring', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
mlaug/MysqlMongoMapper: {'archived': False, 'fork': False, 'html_url': 'https://github.com/mlaug/MysqlMongoMapper', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
pasviegas/suppy-configuration: {'archived': False, 'fork': False, 'html_url': 'https://github.com/pasviegas/suppy-configuration', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
michalbednarczyk1993/Computation-model-template-Java: {'archived': False, 'fork': False, 'html_url': 'https://github.com/michalbednarczyk1993/Computation-model-template-Java', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
pro-coder123/Ringer: {'archived': False, 'fork': False, 'html_url': 'https://github.com/pro-coder123/Ringer', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
shekhargulati/jobsnearyou: {'archived': False, 'fork': False, 'html_url': 'https://github.com/shekhargulati/jobsnearyou', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
ianliu0420/BaseMode_SpringMongo_Angular: {'archived': False, 'fork': False, 'html_url': 'https://github.com/ianliu0420/BaseMode_SpringMongo_Angular', 'stargazers_count': 0, 'forks_count': 2, 'subscribers_count': 2}
loushi135/mywage: {'archived': False, 'fork': False, 'html_url': 'https://github.com/loushi135/mywage', 'stargazers_count': 0, 'forks_count': 1, 'subscribers_count': 2}
loushi135/mywage: {'archived': False, 'fork': False, 'html_url': 'https://github.com/loushi135/mywage', 'stargazers_count': 0, 'forks_count': 1, 'subscribers_count': 2}
altiplanogao/tallyframework: {'archived': False, 'fork': False, 'html_url': 'https://github.com/altiplanogao/tallyframework', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
yuvarajmuthu/kmc: {'archived': False, 'fork': False, 'html_url': 'https://github.com/yuvarajmuthu/kmc', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
spike3008/SpringBootTutorial: {'archived': False, 'fork': False, 'html_url': 'https://github.com/spike3008/SpringBootTutorial', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
theMker/MyRepo: {'archived': False, 'fork': False, 'html_url': 'https://github.com/theMker/MyRepo', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
agibsonccc/expertsystem: {'archived': False, 'fork': False, 'html_url': 'https://github.com/agibsonccc/expertsystem', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
lianyong888/com.huigenghao.service: {'archived': False, 'fork': False, 'html_url': 'https://github.com/lianyong888/com.huigenghao.service', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
thomasdacosta/generator-form: {'archived': False, 'fork': False, 'html_url': 'https://github.com/thomasdacosta/generator-form', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
ufasoli/spring-mongodb: {'archived': False, 'fork': False, 'html_url': 'https://github.com/ufasoli/spring-mongodb', 'stargazers_count': 0, 'forks_count': 2, 'subscribers_count': 2}
siwananda/data-flasher: {'archived': False, 'fork': False, 'html_url': 'https://github.com/siwananda/data-flasher', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 3}
bsko/BookExchange: {'archived': False, 'fork': False, 'html_url': 'https://github.com/bsko/BookExchange', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
einarbj/mongo-testing: {'archived': False, 'fork': False, 'html_url': 'https://github.com/einarbj/mongo-testing', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 3}
mayatnikov/jongo7: {'archived': False, 'fork': False, 'html_url': 'https://github.com/mayatnikov/jongo7', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
event-ev/Portal_REST_API: {'archived': False, 'fork': False, 'html_url': 'https://github.com/event-ev/Portal_REST_API', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
highfredo/Odin-Server: {'archived': False, 'fork': False, 'html_url': 'https://github.com/highfredo/Odin-Server', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
jruemenapf/roll-initiative-backend: {'archived': False, 'fork': False, 'html_url': 'https://github.com/jruemenapf/roll-initiative-backend', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 3}
samarthbsb/backend: {'archived': False, 'fork': False, 'html_url': 'https://github.com/samarthbsb/backend', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 3}
hujian0607/raincat: {'archived': False, 'fork': False, 'html_url': 'https://github.com/hujian0607/raincat', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
binzhangbin/mzgymszy-web: {'archived': False, 'fork': False, 'html_url': 'https://github.com/binzhangbin/mzgymszy-web', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
jiaxini/server: {'archived': False, 'fork': False, 'html_url': 'https://github.com/jiaxini/server', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
EBISPOT/gwas-curation-service: {'archived': False, 'fork': False, 'html_url': 'https://github.com/EBISPOT/gwas-curation-service', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 6}
hklhai/ssh-lab: {'archived': False, 'fork': False, 'html_url': 'https://github.com/hklhai/ssh-lab', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
m-hamma/exemple-jersey: {'archived': False, 'fork': False, 'html_url': 'https://github.com/m-hamma/exemple-jersey', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
m-hamma/exemple-jersey: {'archived': False, 'fork': False, 'html_url': 'https://github.com/m-hamma/exemple-jersey', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
mishadra4/student-authorization: {'archived': False, 'fork': False, 'html_url': 'https://github.com/mishadra4/student-authorization', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 0}

org.apache.hadoop:hadoop-common - https://github.com/apache/hadoop
Error invoking URL https://repos.ecosyste.ms/api/v1/usage/maven/org.apache.hadoop:hadoop-common/dependencies?page=1&per_page=500

com.diffplug.spotless:spotless-plugin-gradle - https://github.com/diffplug/spotless - 1
madanrajt/cucumber: {'archived': False, 'fork': False, 'html_url': 'https://github.com/madanrajt/cucumber', 'stargazers_count': 0, 'forks_count': 1, 'subscribers_count': 1}

org.apache.tomcat:tomcat - https://github.com/apache/tomcat - 15
nuxeo/nuxeo: {'archived': False, 'fork': False, 'html_url': 'https://github.com/nuxeo/nuxeo', 'stargazers_count': 595, 'forks_count': 378, 'subscribers_count': 102}
wso2/product-as: {'archived': False, 'fork': False, 'html_url': 'https://github.com/wso2/product-as', 'stargazers_count': 44, 'forks_count': 69, 'subscribers_count': 270}
tomitribe/jkta: {'archived': False, 'fork': False, 'html_url': 'https://github.com/tomitribe/jkta', 'stargazers_count': 1, 'forks_count': 3, 'subscribers_count': 3}
RomaniEzzatYoussef/stationery-store: {'archived': False, 'fork': False, 'html_url': 'https://github.com/RomaniEzzatYoussef/stationery-store', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
Crycald/Crud-on-own-ORM: {'archived': False, 'fork': False, 'html_url': 'https://github.com/Crycald/Crud-on-own-ORM', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
stomeMan/interActive: {'archived': False, 'fork': False, 'html_url': 'https://github.com/stomeMan/interActive', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 2}
broshanravan/MehrComputerSystems: {'archived': False, 'fork': False, 'html_url': 'https://github.com/broshanravan/MehrComputerSystems', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
AtharshM/First_struts_app: {'archived': False, 'fork': False, 'html_url': 'https://github.com/AtharshM/First_struts_app', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
akyulas/CE4062-2: {'archived': False, 'fork': False, 'html_url': 'https://github.com/akyulas/CE4062-2', 'stargazers_count': 0, 'forks_count': 1, 'subscribers_count': 2}
doudouchat/exemple-integration: {'archived': False, 'fork': False, 'html_url': 'https://github.com/doudouchat/exemple-integration', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
abhishekmha/OnlineShopping: {'archived': False, 'fork': False, 'html_url': 'https://github.com/abhishekmha/OnlineShopping', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 1}
maxwell94/BookmeJsp: {'archived': False, 'fork': False, 'html_url': 'https://github.com/maxwell94/BookmeJsp', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 0}
Gunm-prog/Climbing-Friends: {'archived': False, 'fork': False, 'html_url': 'https://github.com/Gunm-prog/Climbing-Friends', 'stargazers_count': 0, 'forks_count': 0, 'subscribers_count': 0}
